Search:,Year,Semester
UNVS 15 (Section 12),47660,Fully Online,Statway: Statistics-Concepts a Methods,GE: B4,3.0,ACT,MW,03:00PM-04:45PM,Fatemeh Yarahmadi,ONLINE,08/21/24-12/09/24,10,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
UNVS 15 (Section 13),47665,Fully Online,Statway: Statistics-Concepts a Methods,GE: B4,3.0,SEM,W,10:00AM-10:50AM,Fatemeh Yarahmadi,ONLINE,08/21/24-12/09/24,5,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
UNVS 15 (Section 14),47666,Fully Online,Statway: Statistics-Concepts a Methods,GE: B4,3.0,ACT,TR,10:00AM-11:45AM,Fatemeh Yarahmadi,ONLINE,08/21/24-12/09/24,5,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
UNVS 15 (Section 15),47671,In Person,Statway: Statistics-Concepts a Methods,GE: B4,3.0,SEM,T,02:00PM-02:50PM,Mokhtar Zoubeidi,ENG232,08/21/24-12/09/24,0,2024,Fall
UNVS 15 (Section 16),47675,Fully Online,Statway: Statistics-Concepts a Methods,GE: B4,3.0,ACT,WF,02:00PM-03:45PM,Mokhtar Zoubeidi,ONLINE,08/21/24-12/09/24,0,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
UNVS 15 (Section 19),49883,In Person,Statway: Statistics-Concepts a Methods,GE: B4,3.0,SEM,M,08:00AM-08:50AM,Lucinda Robledo,ENG232,08/21/24-12/09/24,4,2024,Fall
UNVS 15 (Section 20),49884,Fully Online,Statway: Statistics-Concepts a Methods,GE: B4,3.0,ACT,WF,08:00AM-09:45AM,Lucinda Robledo,ONLINE,08/21/24-12/09/24,4,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
UNVS 190 (Section 01),45034,Fully Online,University Internship,,3.0,SUP,TBA,TBA,Bobbi Makani,ONLINE,08/21/24-12/09/24,37,2024,Fall
RO - Not available to Open University students.,2024,Fall
URBP 103 (Section 01),49664,In Person,Local Government and Politics,,4.0,LEC,TR,2024,Fall
TBA,TR,2024,Fall
TBA,Kenneth Yeager,HGH116,2024,Fall
URBP 136 (Section 01),50248,In Person,Introduction to Land Use Planning,,4.0,SEM,M,2024,Fall
TBA,M,2024,Fall
TBA,Jeffrey Hare / Jeffrey Hare,CL218,2024,Fall
URBP 136 (Section 02),50251,In Person,Introduction to Land Use Planning,,4.0,SEM,T,2024,Fall
TBA,T,2024,Fall
TBA,Chris Cheleden / Chris Cheleden,CL218,2024,Fall
URBP 143 (Section 01),47851,In Person,Intro Private Development and Planning,,3.0,SEM,T,03:00PM-05:45PM,Anu Natarajan,CL243,08/21/24-12/09/24,3,2024,Fall
URBP 151 (Section 01),50540,In Person,Introduction to Urban Design,,4.0,SEM,W,2024,Fall
TBA,W,2024,Fall
TBA,Gordon Douglas / Gordon Douglas,CL303A,2024,Fall
URBP 160 (Section 01),50878,In Person,Topics in Environmental Planning,,4.0,SEM,R,2024,Fall
TBA,R,2024,Fall
TBA,Sophie Kelmenson / Sophie Kelmenson,WSQ208,2024,Fall
URBP 178 (Section 01),47853,In Person,Intro to Regional Transport Planning,,4.0,SEM,W,2024,Fall
TBA,W,2024,Fall
TBA,Richard Lee / Charles Rivasplata,CL308,2024,Fall
URBP 185 (Section 01),49545,In Person,Environmental Impact Analysis,,4.0,LEC,W,04:30PM-07:15PM,Ada Marquez,DMH354,08/21/24-12/09/24,23,2024,Fall
URBP 185 (Section 10),49546,In Person,Environmental Impact Analysis,,4.0,ACT,TBA,TBA,Ada Marquez,OFFCAMPUS,08/21/24-12/09/24,23,2024,Fall
URBP 200 (Section 01),47856,In Person,Seminar on Urban and Regional Planning,GWAR,4.0,SEM,W,2024,Fall
TBA,W,2024,Fall
TBA,Pietro Calogero / Pietro Calogero,WSQ111,2024,Fall
URBP 204 (Section 02),50233,In Person,Quantitative Methods,,4.0,SEM,M,2024,Fall
TBA,M,2024,Fall
TBA,Shishir Mathur / Shishir Mathur,WSQ208,2024,Fall
URBP 205 (Section 01),47852,In Person,Private Development and Urban Planning,,3.0,SEM,T,03:00PM-05:45PM,Anu Natarajan,CL243,08/21/24-12/09/24,5,2024,Fall
URBP 225 (Section 01),47871,In Person,Land Use Planning and Law,,4.0,SEM,M,2024,Fall
TBA,M,2024,Fall
TBA,Jeffrey Hare / Jeffrey Hare,CL218,2024,Fall
URBP 225 (Section 02),47872,In Person,Land Use Planning and Law,,4.0,SEM,T,2024,Fall
TBA,T,2024,Fall
TBA,Chris Cheleden / Chris Cheleden,CL218,2024,Fall
URBP 226 (Section 01),47854,In Person,Regional Transportation Planning,,4.0,SEM,W,2024,Fall
TBA,W,2024,Fall
TBA,Richard Lee / Charles Rivasplata,CL308,2024,Fall
URBP 231 (Section 01),47881,In Person,Urban Design in Planning,,4.0,SEM,W,2024,Fall
TBA,W,2024,Fall
TBA,Gordon Douglas / Gordon Douglas,CL303A,2024,Fall
URBP 234 (Section 80),47883,Fully Online,Field Study Seminar,,1.0,SUP,TBA,TBA,Thomas Lester,ONLINE,08/21/24-12/09/24,1,2024,Fall
RO - Not available to Open University students.,2024,Fall
URBP 236 (Section 01),47887,In Person,Urban and Regional Planning Policy Analysis: Tools and Methods,GWAR,4.0,SEM,R,2024,Fall
TBA,R,2024,Fall
TBA,Ahoura Zandiatashbar / Ahoura Zandiatashbar,DMH164,2024,Fall
URBP 241 (Section 01),43331,In Person,Planning Sustainable Cities,,2.0,SEM,R,04:30PM-07:15PM,Charles Rivasplata,WSQ111,08/21/24-12/09/24,2,IC - See course description for requirements.,2024,Fall
URBP 255 (Section 02),50234,In Person,Urban and Regional Growth Management,,4.0,SEM,M,2024,Fall
TBA,M,2024,Fall
TBA,Shishir Mathur / Shishir Mathur,CL224,2024,Fall
URBP 260 (Section 01),48155,In Person,Environmental Planning Topics,,4.0,SEM,R,2024,Fall
TBA,R,2024,Fall
TBA,Sophie Kelmenson,WSQ208,2024,Fall
URBP 275G (Section 80),48145,Fully Online,Geographic Information Systems Overview: Urban Planning Applications,,1.0,SEM,TBA,TBA,Richard Kos,ONLINE,08/21/24-12/09/24,2,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
