Search:,Year,Semester
NUFS 163 (Section 80),48954,Fully Online,Science of Physical Fitness and Nutrition,GE: R,3.0,LEC,TR,12:00PM-01:15PM,Izzie Brown / Karen Moreno,ONLINE,08/21/24-12/09/24,28,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
NUFS 163 (Section 81),48955,Fully Online,Science of Physical Fitness and Nutrition,GE: R,3.0,LEC,TR,12:00PM-01:15PM,Izzie Brown / Karen Moreno,ONLINE,08/21/24-12/09/24,24,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
NUFS 163 (Section 82),48956,Fully Online,Science of Physical Fitness and Nutrition,GE: R,3.0,LEC,MW,2024,Fall
TBA,MW,2024,Fall
TBA,Toni Bloom / Karen Moreno,ONLINE,2024,Fall
NUFS 163 (Section 83),48957,Fully Online,Science of Physical Fitness and Nutrition,GE: R,3.0,LEC,MW,2024,Fall
TBA,MW,2024,Fall
TBA,Toni Bloom / Karen Moreno,ONLINE,2024,Fall
NUFS 163 (Section 84),48958,Fully Online,Science of Physical Fitness and Nutrition,GE: R,3.0,LEC,MW,2024,Fall
TBA,MW,2024,Fall
TBA,Toni Bloom / Alev Tug,ONLINE,2024,Fall
NUFS 163 (Section 85),48959,Fully Online,Science of Physical Fitness and Nutrition,GE: R,3.0,LEC,MW,2024,Fall
TBA,MW,2024,Fall
TBA,Toni Bloom / Alev Tug,ONLINE,2024,Fall
NUFS 163 (Section 86),48961,Fully Online,Science of Physical Fitness and Nutrition,GE: R,3.0,LEC,MW,2024,Fall
TBA,MW,2024,Fall
TBA,Toni Bloom / Alev Tug,ONLINE,2024,Fall
NUFS 163 (Section 87),48963,Fully Online,Science of Physical Fitness and Nutrition,GE: R,3.0,LEC,MW,2024,Fall
TBA,MW,2024,Fall
TBA,Toni Bloom / Alev Tug,ONLINE,2024,Fall
NUFS 180 (Section 01),48704,In Person,Individual Studies,,1.0,SUP,TBA,TBA,Jamie Kubota,,08/21/24-12/09/24,19,RO - Not available to Open University students.,2024,Fall
NUFS 180 (Section 02),48705,In Person,Individual Studies,,2.0,SUP,TBA,TBA,Jamie Kubota,,08/21/24-12/09/24,20,RO - Not available to Open University students.,2024,Fall
NUFS 180 (Section 03),48706,In Person,Individual Studies,,3.0,SUP,TBA,TBA,Staff,,08/21/24-12/09/24,20,RO - Not available to Open University students.,2024,Fall
NUFS 180 (Section 04),48707,In Person,Individual Studies,,4.0,SUP,TBA,TBA,Staff,,08/21/24-12/09/24,20,RO - Not available to Open University students.,2024,Fall
NUFS 180 (Section 05),48708,In Person,Individual Studies,,5.0,SUP,TBA,TBA,Staff,,08/21/24-12/09/24,20,RO - Not available to Open University students.,2024,Fall
NUFS 180 (Section 06),48709,In Person,Individual Studies,,6.0,SUP,TBA,TBA,Staff,,08/21/24-12/09/24,20,RO - Not available to Open University students.,2024,Fall
NUFS 180 (Section 07),48710,In Person,Individual Studies,,1.0,SUP,TBA,TBA,Susan Chen,,08/21/24-12/09/24,17,RO - Not available to Open University students.,2024,Fall
