Search:,Year,Semester
MATH 70X (Section 11),44419,In Person,Mathematics for Business,GE: B4,3.0,LEC,TR,03:00PM-04:15PM,Albert Chang,MH423,08/21/24-12/09/24,0,2024,Fall
MATH 70X (Section 12),50779,In Person,Mathematics for Business,GE: B4,3.0,LEC,MW,10:30AM-11:45AM,Lining Wang,BBC130,08/21/24-12/09/24,2,2024,Fall
MATH 70X (Section 13),50843,In Person,Mathematics for Business,GE: B4,3.0,LEC,MW,01:30PM-02:45PM,Lining Wang,SH346,08/21/24-12/09/24,0,2024,Fall
MATH 71 (Section 01),42955,In Person,Calculus for Business and Aviation,GE: B4,3.0,LEC,MW,09:00AM-10:15AM,Abera Jiru,MH423,08/21/24-12/09/24,5,2024,Fall
MATH 71 (Section 02),47935,In Person,Calculus for Business and Aviation,GE: B4,3.0,LEC,TR,09:00AM-10:15AM,Abera Jiru,MH320,08/21/24-12/09/24,2,2024,Fall
MATH 71 (Section 03),47936,In Person,Calculus for Business and Aviation,GE: B4,3.0,LEC,TR,10:30AM-11:45AM,Abera Jiru,MH320,08/21/24-12/09/24,1,2024,Fall
MATH 71W (Section 01),42855,In Person,Calculus Workshop for Business/Aviation,,1.0,LAB,TR,12:00PM-01:15PM,Abera Jiru,SCI321,08/21/24-12/09/24,4,2024,Fall
MATH 71W (Section 02),46959,In Person,Calculus Workshop for Business/Aviation,,1.0,LAB,TR,03:00PM-04:15PM,Devam Sanjay Sheth,SCI321,08/21/24-12/09/24,18,2024,Fall
MATH 71X (Section 01),42851,In Person,Calculus for Business and Aviation,GE: B4,3.0,LEC,MW,09:00AM-10:15AM,Abera Jiru,MH423,08/21/24-12/09/24,0,2024,Fall
MATH 71X (Section 02),42852,In Person,Calculus for Business and Aviation,GE: B4,3.0,LEC,TR,09:00AM-10:15AM,Abera Jiru,MH320,08/21/24-12/09/24,0,2024,Fall
MATH 71X (Section 03),47937,In Person,Calculus for Business and Aviation,GE: B4,3.0,LEC,TR,10:30AM-11:45AM,Abera Jiru,MH320,08/21/24-12/09/24,0,2024,Fall
MCOM 100W (Section 80),41308,Fully Online,Writing Workshop: Mass Communications,WID,3.0,SEM,TBA,TBA,Ralph Nichols,ONLINE,08/21/24-12/09/24,0,2024,Fall
"ID - See department for advisement, prerequisites, and/or course requirements.",2024,Fall
RK - Restricted to certain majors. Contact department office for information.,2024,Fall
MCOM 100W (Section 81),46931,Fully Online,Writing Workshop: Mass Communications,WID,3.0,SEM,TBA,TBA,Ralph Nichols,ONLINE,08/21/24-12/09/24,1,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
MCOM 100W (Section 83),50754,Fully Online,Writing Workshop: Mass Communications,WID,3.0,SEM,TBA,TBA,Ralph Nichols,ONLINE,08/21/24-12/09/24,5,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
MCOM 101 (Section 02),50099,In Person,Media Law and Ethics,,3.0,LEC,TR,03:00PM-04:15PM,Diana Stover,DBH225,08/21/24-12/09/24,1,2024,Fall
MCOM 104 (Section 01),42164,In Person,Introduction to Mass Communications Research,,3.0,SEM,MW,12:00PM-01:15PM,Zongchao Li,DBH225,08/21/24-12/09/24,0,PB - Prereq - Upper division standing.,2024,Fall
MCOM 104 (Section 80),47655,Fully Online,Introduction to Mass Communications Research,,3.0,SEM,TBA,TBA,Zongchao Li,ONLINE,08/21/24-12/09/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
MCOM 106 (Section 02),49922,In Person,Global Mass Communication,,3.0,LEC,TR,01:30PM-02:45PM,Diana Stover,DBH225,08/21/24-12/09/24,8,2024,Fall
MCOM 108 (Section 01),42221,In Person,"Virtual Worlds, Virtual Reality and Mass Media",,3.0,LEC,W,06:00PM-08:45PM,Tina Korani,DBH222,08/21/24-12/09/24,5,2024,Fall
MCOM 111 (Section 01),40114,In Person,Internship,,3.0,SEM,TBA,TBA,Dona Nichols,,08/21/24-12/09/24,6,2024,Fall
PB - Prereq - Upper division standing.,2024,Fall
RC - Requires department release of permission number.,2024,Fall
RE - Requires negotiated agreements or contracts. Consult department.,2024,Fall
MCOM 170 (Section 01),43094,In Person,Strategic Social Media a Digital Marketing,,3.0,LEC,W,06:00PM-08:45PM,Michael Brito,DBH117D,08/21/24-12/09/24,1,2024,Fall
MCOM 175 (Section 01),48023,In Person,Social Media and Web Analytics,,3.0,LEC,MW,03:00PM-04:15PM,Zongchao Li,DBH225,08/21/24-12/09/24,0,2024,Fall
MCOM 180 (Section 01),41593,In Person,Independent Study,,1.0,SUP,TBA,TBA,John Delacruz,,08/21/24-12/09/24,20,2024,Fall
PB - Prereq - Upper division standing.,2024,Fall
RC - Requires department release of permission number.,2024,Fall
RO - Not available to Open University students.,2024,Fall
MCOM 180 (Section 02),41594,In Person,Independent Study,,2.0,SUP,TBA,TBA,John Delacruz,,08/21/24-12/09/24,20,2024,Fall
PB - Prereq - Upper division standing.,2024,Fall
RC - Requires department release of permission number.,2024,Fall
RO - Not available to Open University students.,2024,Fall
MCOM 180 (Section 03),41596,In Person,Independent Study,,3.0,SUP,TBA,TBA,John Delacruz,,08/21/24-12/09/24,20,2024,Fall
PB - Prereq - Upper division standing.,2024,Fall
RC - Requires department release of permission number.,2024,Fall
RO - Not available to Open University students.,2024,Fall
MCOM 199A (Section 01),47806,In Person,Advertising a Public Relations Agency I,,4.0,LAB,MTWR,2024,Fall
TBA,MTWR,2024,Fall
TBA,David Ocampo / Aaron Freitas,DBH117D,2024,Fall
MCOM 210 (Section 01),40606,In Person,Media and Social Issues,GWAR,3.0,SEM,R,2024,Fall
TBA,R,2024,Fall
TBA,Diana Stover,DBH225,2024,Fall
MCOM 285 (Section 01),40776,In Person,Web Design and Development,,3.0,SEM,T,06:00PM-08:45PM,Tina Korani,DBH222,08/21/24-12/09/24,1,PC - Prereq - Graduate student status.,2024,Fall
MCOM 298A (Section 01),42244,In Person,Master's Project I,,3.0,SEM,M,06:00PM-08:45PM,Nisha Garud Patkar,DBH222,08/21/24-12/09/24,14,2024,Fall
PC - Prereq - Graduate student status.,2024,Fall
RC - Requires department release of permission number.,2024,Fall
