Search:,Year,Semester
CS 256 (Section 01),47217,In Person,Topics in Artificial Intelligence,,3.0,SEM,TR,10:30AM-11:45AM,Sayma Akther,MH222,08/21/24-12/09/24,3,2024,Fall
CS 256 (Section 02),48788,In Person,Topics in Artificial Intelligence,,3.0,SEM,TR,04:30PM-05:45PM,Maryam Khazaei Pool,MH222,08/21/24-12/09/24,7,2024,Fall
CS 256 (Section 03),50426,In Person,Topics in Artificial Intelligence,,3.0,SEM,TR,03:00PM-04:15PM,Maryam Khazaei Pool,DH416,08/21/24-12/09/24,5,2024,Fall
CS 257 (Section 01),47111,In Person,Database System Principles,,3.0,SEM,MW,04:30PM-05:45PM,Frank Butt,ISB878,08/21/24-12/09/24,14,2024,Fall
CS 259 (Section 01),44131,In Person,Advanced Parallel Processing,,3.0,LEC,MW,04:30PM-05:45PM,Robert Chun,MH422,08/21/24-12/09/24,0,2024,Fall
CS 266 (Section 01),49392,In Person,Topics in Information Security,,3.0,LEC,TR,10:30AM-11:45AM,Amith Kamath Belman,ISB870,08/21/24-12/09/24,0,2024,Fall
CS 267 (Section 01),49084,In Person,Topics in Database Systems,,3.0,SEM,TR,06:00PM-07:15PM,Ching-Seh Wu,SH435,08/21/24-12/09/24,2,2024,Fall
CS 268 (Section 01),43112,In Person,Topics in Wireless Mobile Networking,,3.0,LEC,MW,10:30AM-11:45AM,Navrati Saxena,DH450,08/21/24-12/09/24,0,2024,Fall
CS 271 (Section 02),50434,In Person,Topics in Machine Learning,,3.0,LEC,TR,10:30AM-11:45AM,Mark Stamp,MH422,08/21/24-12/09/24,2,2024,Fall
CS 271 (Section 03),49395,In Person,Topics in Machine Learning,,3.0,LEC,TR,03:00PM-04:15PM,Fabio Di Troia,MH222,08/21/24-12/09/24,1,2024,Fall
CS 272 (Section 01),44134,In Person,Reinforcement Learning and Sequential Decision Making,,3.0,LEC,MW,12:00PM-01:15PM,Genya Ishigaki,ISB782,08/21/24-12/09/24,0,2024,Fall
CS 276 (Section 01),46783,In Person,Machine Learning on Graphs,,3.0,LEC,MW,10:30AM-11:45AM,Katerina Potika,MH225,08/21/24-12/09/24,5,2024,Fall
CS 280 (Section 01),45827,In Person,Graduate Individual Studies,,3.0,SUP,TBA,TBA,William Andreopoulos,,08/21/24-12/09/24,4,RO - Not available to Open University students.,2024,Fall
CS 280 (Section 02),45828,In Person,Graduate Individual Studies,,3.0,SUP,TBA,TBA,Kai Mast,,08/21/24-12/09/24,4,RO - Not available to Open University students.,2024,Fall
CS 280 (Section 03),45829,In Person,Graduate Individual Studies,,3.0,SUP,TBA,TBA,Staff,,08/21/24-12/09/24,5,RO - Not available to Open University students.,2024,Fall
CS 280 (Section 04),45830,In Person,Graduate Individual Studies,,3.0,SUP,TBA,TBA,Staff,,08/21/24-12/09/24,5,RO - Not available to Open University students.,2024,Fall
CS 280 (Section 05),45831,In Person,Graduate Individual Studies,,3.0,SUP,TBA,TBA,Staff,,08/21/24-12/09/24,5,RO - Not available to Open University students.,2024,Fall
CS 280 (Section 06),45832,In Person,Graduate Individual Studies,,3.0,SUP,TBA,TBA,Staff,,08/21/24-12/09/24,5,RO - Not available to Open University students.,2024,Fall
CS 297 (Section 01),46641,In Person,Preparation for Writing Project or Thesis,,3.0,SUP,TBA,TBA,Mark Stamp,,08/21/24-12/09/24,4,RO - Not available to Open University students.,2024,Fall
CS 297 (Section 02),46643,In Person,Preparation for Writing Project or Thesis,,3.0,SUP,TBA,TBA,Christopher Pollett,,08/21/24-12/09/24,0,RO - Not available to Open University students.,2024,Fall
CS 297 (Section 03),46615,In Person,Preparation for Writing Project or Thesis,,3.0,SUP,TBA,TBA,Fabio Di Troia,,08/21/24-12/09/24,0,RO - Not available to Open University students.,2024,Fall
CS 297 (Section 04),46616,In Person,Preparation for Writing Project or Thesis,,3.0,SUP,TBA,TBA,Genya Ishigaki,,08/21/24-12/09/24,0,RO - Not available to Open University students.,2024,Fall
CS 297 (Section 05),46617,In Person,Preparation for Writing Project or Thesis,,3.0,SUP,TBA,TBA,Faranak Abri,,08/21/24-12/09/24,1,RO - Not available to Open University students.,2024,Fall
CS 297 (Section 06),46618,In Person,Preparation for Writing Project or Thesis,,3.0,SUP,TBA,TBA,Teng Moh,,08/21/24-12/09/24,1,RO - Not available to Open University students.,2024,Fall
CS 297 (Section 07),46619,In Person,Preparation for Writing Project or Thesis,,3.0,SUP,TBA,TBA,Melody Moh,,08/21/24-12/09/24,1,RO - Not available to Open University students.,2024,Fall
CS 297 (Section 08),46620,In Person,Preparation for Writing Project or Thesis,,3.0,SUP,TBA,TBA,Saptarshi Sengupta,,08/21/24-12/09/24,0,RO - Not available to Open University students.,2024,Fall
